File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,10508,3.69,2435478,798134
DNACorpus1/mpomtcg,186609,50680,3.682,11523037,2913439
DNACorpus1/humhbb,73308,19749,3.712,4244676,1192657
DNACorpus1/humghcs,66495,17871,3.721,3984906,1187747
DNACorpus1/humprtb,56737,15217,3.729,3343478,1002910
DNACorpus1/chntxx,155844,41870,3.722,9668062,2512984
DNACorpus1/chmpxx,121024,30916,3.915,7125954,1819257
DNACorpus1/vaccg,191737,50542,3.794,11673740,2915151
DNACorpus1/mtpacga,100314,26097,3.844,5768426,1558045
DNACorpus1/humhdab,58864,15796,3.727,3477030,1019941
DNACorpus1/hehcmv,229354,61968,3.701,14155676,3510823
