File.Name,Original.File.Size,Compression.Time,Compression.Ratio,Compressed.Size
DNACorpus2/AeCa,1591049,1.07,3.57,444732
DNACorpus2/AgPh,43970,0.02,3.36,13062
DNACorpus2/BuEb,18940,0.00,3.25,5825
DNACorpus2/DaRe,62565020,45.26,3.76,16597663
DNACorpus2/DrMe,32181429,22.29,3.60,8931424
DNACorpus2/EnIn,26403087,19.75,3.61,7306641
DNACorpus2/EsCo,4641652,3.02,3.57,1299674
DNACorpus2/GaGa,148532294,109.88,3.65,40621708
DNACorpus2/HaHi,3890005,2.90,3.63,1071092
DNACorpus2/HePy,1667825,1.24,3.67,453890
DNACorpus2/HoSa,189752667,139.39,3.73,50851335
DNACorpus2/OrSa,43262523,28.24,3.65,11833526
DNACorpus2/PlFa,8986712,7.67,3.77,2382489
DNACorpus2/ScPo,10652155,7.36,3.57,2982191
DNACorpus2/YeMi,73689,0.05,3.58,20529
