File.Name,Original.File.Size,Compression.Time,Compression.Ratio,Compressed.Size
../lzwcpp/DNACorpus1/chmpxx,121024,0.00,3.77,32099
../lzwcpp/DNACorpus1/chntxx,155844,0.00,3.66,42555
../lzwcpp/DNACorpus1/hehcmv,229354,0.01,3.68,62169
../lzwcpp/DNACorpus1/humdyst,38770,0.00,3.66,10566
../lzwcpp/DNACorpus1/humghcs,66495,0.00,4.62,14370
../lzwcpp/DNACorpus1/humhbb,73308,0.00,3.72,19684
../lzwcpp/DNACorpus1/humhdab,58864,0.00,3.86,15215
../lzwcpp/DNACorpus1/humprtb,56737,0.00,3.81,14854
../lzwcpp/DNACorpus1/mpomtcg,186609,0.01,3.68,50620
../lzwcpp/DNACorpus1/mtpacga,100314,0.00,3.76,26615
../lzwcpp/DNACorpus1/vaccg,191737,0.01,3.81,50209
